year,n_obs,n_households,age_mean,age_sd,literacy_mean,literacy_sd,welfare_mean,welfare_sd,poverty_rate,poverty_gap,gini_index,theil_index
2018,24609,7010,22.4660577860507,19.04600605691833,1.692673412166281,.6242254308342711,1833.1659,1894.708,.061440937,.01144539,.41859964,.32626528
2021,25387,7176,22.43246543506519,18.95125020325737,1.709930279276795,.6529730858215803,1840.8989,1671.752,.0540828,.0094370069,.38250032,.2686505
