year,n,hhsize,age_mean,age_sd,lit_mean,lit_sd,wel_mean,wel_sd,pov_rate,pov_gap,gini_index,theil_index
2018,24609,7010,22.4660577860507,19.04600605691833,1.692673412166281,.6242254308342718,1833.1659,1894.708,.061440937,.01144539,.41859964,.32626528
2021,25387,7176,22.43246543506519,18.95125020325737,1.709930279276795,.6529730858215802,1840.8989,1671.752,.0540828,.0094370069,.38250032,.2686505
