year,n,households,age_mean,age_sd,literacy_mean,literacy_sd,welfare_mean,welfare_sd
2018,24609,7010,22.4660577860507,19.04600605691832,1.692673412166281,.6242254308342712,1833.1659,1894.708
2021,25387,7176,22.43246543506519,18.95125020325737,1.709930279276795,.6529730858215805,1840.8989,1671.752
